A;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
B;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]
C;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
D;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]
E;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
F;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]
G;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
H;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]
I;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
J;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]
K;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
L;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]
M;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
N;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]
O;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
P;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]
Q;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
R;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]
S;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
T;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]
U;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
V;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]
W;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
X;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]
Y;[15,22,1,56,38,43,78,99,101,424,222,190,789,12,36,990,43,44,21,55,89,10,88,987,342,429,420,122,111,999]
Z;[32,112,1,202,101,99,990,44,23,78,56,15,424,222,429,999,89,11,88,987,43,789,12,36,55,342,420,22,111,37]


